"id","geom","fid"
0,POINT (348222.6631346172 4057687.26383723),1
1,POINT (421791.42171516654 4145018.773990249),2
2,POINT (438697.95498224423 4109355.139765964),3
3,POINT (139446.3325122378 4089355.975985246),4
4,POINT (348298.00774693233 4154875.261881053),5
5,POINT (361037.0555839938 4098578.537567445),6
6,POINT (495381.63627814443 4222332.575209789),7
7,POINT (343440.63882999273 4119414.8736474486),8
8,POINT (385444.2614129701 4164515.4487913987),9
9,POINT (150343.1294552144 4125969.4775960175),10
10,POINT (264616.88348632446 4150325.8287138455),11
11,POINT (417888.87053124985 4179989.044270388),12
12,POINT (262835.68831501045 4004952.007728276),13
13,POINT (353004.9492530602 4152864.8555245562),14
14,POINT (153300.6850068324 4121037.545765328),15
15,POINT (112193.46710426854 4129199.1022600043),16
16,POINT (157833.8623669563 4136199.040368247),17
17,POINT (311864.17718035745 4129411.4097117246),18
18,POINT (323771.67676132184 4043604.9230625024),19
19,POINT (444296.7162069608 4119373.1834491626),20
20,POINT (446826.597093469 4236413.703242626),21
21,POINT (316370.60957165866 4040664.8029604303),22
22,POINT (337616.96250336233 4206652.552064986),23
23,POINT (353374.7831745497 4161613.4042074825),24
24,POINT (214109.5671069848 4056895.183952764),25
25,POINT (338964.8497423466 4146538.0795965837),26
26,POINT (268120.2940079222 4006430.3017662666),27
27,POINT (457864.86505359574 4206153.678630638),28
28,POINT (244703.63255832903 4001774.823804801),29
29,POINT (412918.5210491864 4176535.6573582096),30
30,POINT (428773.2492300921 4203691.769670686),31
31,POINT (284108.43636826606 4008017.1817206605),32
32,POINT (353468.00288211275 4160086.958586868),33
33,POINT (500684.62839308626 4227779.53904031),34
34,POINT (448797.0117564462 4067011.760959482),35
35,POINT (344741.2415081491 4140629.9805205157),36
36,POINT (337722.8018622753 4137131.717973651),37
37,POINT (246898.84929991668 4004147.243515338),38
38,POINT (447525.3833346525 4211650.546644417),39
39,POINT (222350.23000719692 4065914.103499066),40
40,POINT (307606.3091860483 4034483.0792992986),41
41,POINT (216252.09267189246 4133301.9503940456),42
42,POINT (579441.1565277592 4085678.972091101),43
43,POINT (351048.0889820237 4154054.3675508285),44
44,POINT (556429.7321921336 4135327.3931336817),45
45,POINT (345038.05137177365 4119513.2570347856),46
46,POINT (441878.83027833374 4121414.620352189),47
47,POINT (587889.2217166207 4103621.927775507),48
48,POINT (267745.3482370455 4004472.389388603),49
49,POINT (191349.12996755395 4124244.1177078527),50
50,POINT (336846.62233192206 4134057.1397971464),51
51,POINT (367257.7222052761 4057981.623863896),52
52,POINT (162898.19639836845 4118837.0993761597),53
53,POINT (341201.8334531193 4194099.0305981403),54
54,POINT (193278.00012718485 4127232.1234567566),55
55,POINT (365323.69856987445 4138992.8883615243),56
56,POINT (154557.2795415402 4122086.5905207964),57
57,POINT (132760.68294726592 4135114.467923946),58
58,POINT (350368.76261386217 4065162.7239965983),59
59,POINT (559611.6804539864 4080838.9788935455),60
60,POINT (587821.0190850882 4047083.7817679043),61
61,POINT (343074.7560442991 4203644.746582101),62
62,POINT (496090.54188568436 4224162.47906418),63
63,POINT (366762.7194753979 4068584.317646142),64
64,POINT (341781.72669230687 4120330.669371152),65
65,POINT (239475.95160379997 4038631.558673465),66
66,POINT (312838.90381172707 4123938.706494782),67
67,POINT (276620.45837169344 4008100.179868778),68
68,POINT (363407.9759854657 4064168.55242838),69
69,POINT (481982.24167063506 4215929.4065577155),70
70,POINT (284189.53676002374 4009536.1201406815),71
71,POINT (237011.0885428982 4135832.5185645763),72
72,POINT (197058.17235969123 4065736.2297397647),73
73,POINT (246702.35267514488 4064647.678216384),74
74,POINT (431661.96657372516 4102782.3231162876),75
75,POINT (122814.30320441457 4130293.3314758493),76
76,POINT (363490.28613095253 4065374.5971935014),77
77,POINT (192538.27213319746 4121345.2280280343),78
78,POINT (261603.47474977322 4005358.0939499177),79
79,POINT (357896.3225680462 4195698.609035776),80
80,POINT (360614.21218731755 4067956.2481479775),81
81,POINT (236676.36053712186 4146839.6470769653),82
82,POINT (344717.1104208889 4058870.4053328424),83
83,POINT (449297.06230541255 4068333.737710599),84
84,POINT (368347.20638554206 4061055.4325608835),85
