"id","geom"
0,POINT (399365.7347570168 4212141.848203592)
1,POINT (235168.8202322372 4141179.736823516)
2,POINT (300458.1003385576 4034837.8137514074)
3,POINT (246035.08726081633 4125477.015591163)
4,POINT (265054.79927266453 3990718.094978326)
5,POINT (396494.5828313968 4117213.409588292)
6,POINT (198123.6855724306 4149881.621315167)
7,POINT (232893.09067158654 4021959.2747037755)
8,POINT (246379.27590924522 4028873.892664974)
9,POINT (365281.4872749425 4062728.729771337)
10,POINT (283434.67652908486 4012306.877487147)
11,POINT (247295.8034721422 4147345.9457576238)
12,POINT (362192.0816260923 4054613.201099518)
13,POINT (167966.62771063996 4204618.1726610875)
14,POINT (178539.87290664934 4178637.814698353)
15,POINT (385214.45655425405 4228384.59907743)
16,POINT (412589.188443262 4211038.484469023)
17,POINT (354168.1052250508 4208082.000978066)
18,POINT (243891.04114398104 4112249.4864977263)
19,POINT (347249.86790308426 4083848.111197363)
20,POINT (311380.55983585946 4186113.1958006574)
21,POINT (264252.67115800694 4125767.0088742347)
22,POINT (265913.00479926565 4109441.3310053465)
23,POINT (506877.51720237616 4076420.1744198957)
24,POINT (408748.88801096025 4211270.767204111)
25,POINT (374535.2354492855 4108611.864326996)
26,POINT (347441.2728372254 4041134.8455055407)
27,POINT (357709.0400434358 4098961.5290735015)
28,POINT (596953.6887877334 4092811.1410625274)
29,POINT (236693.16723517684 4140551.2339941585)
30,POINT (352319.9097622431 4060614.6432132493)
31,POINT (269088.827471629 4124580.3945591603)
32,POINT (225922.3151384066 4137535.865893036)
33,POINT (239692.57147472785 4142322.3356224853)
34,POINT (398221.8996405118 4117876.103352149)
35,POINT (326152.9619206061 4189377.500599261)
36,POINT (369130.4987742634 4143970.086091043)
37,POINT (148882.47087624331 4143673.7038987093)
38,POINT (262862.7493829622 3972229.2857314767)
39,POINT (241015.30351121552 4140222.0319754547)
40,POINT (560542.9211545757 4138174.1833330165)
41,POINT (275423.0498080732 4171292.8702088078)
42,POINT (450670.1961436299 4066797.0683545787)
43,POINT (339113.1800018498 4191617.7160410807)
44,POINT (550826.8491955337 4074615.7762311865)
45,POINT (349024.9432838879 4195352.961909517)
46,POINT (267898.2551418485 3992343.1862526345)
47,POINT (354304.0073440608 4165683.129764346)
48,POINT (368979.89974261256 4070335.938604178)
